law	family	cell	R2	offLine%	Lspan	darkestL*	darkP05	gapMedMM	gapP05MM	gapP95MM	gapRatioMed	gapRatioP95	monotonic%	spacingCoV	spacingStep	driftBeat	wStepAlong	wStepAcross	wRange	HFALL95	HFALLstep	moireRMS	moireLF	moireLFmax	freeEndMM	freeEndRawMM	bareMM	inkMM	weightedInkMM	paths	floorRulings	bundlePasses	bundleFlood%	contGapMM	contFlood%	screenAngles	screenSeps
bundleDither	bundle	capsule-hatch	0.677	14.4	37.4	4.5	43	0.34	0.32	0.93	1.1	3.5	50.8	0.195	2	117	0	0	1-1	7.05	73.47	6.95	3.22	20.93	19.8	19.8	1.21	4258.6	4258.6	154	25/25	1-7	0			24	
bundleDither	bundle	cylinder-hatch	0.566	5.4	27.9	4.5	38	0.34	0.33	0.87	1.04	2.95	51.8	0	1		0	0	1-1	34.8	78.54	10	6.11	30.05	18.75	18.75	0.85	6340.4	6340.4	247	30/30	2-7	0			31	
bundleDither	bundle	sphere-crosshatch	0.492	50.1	73.3	4.5	4.5	0.34	0.24	0.72	1.07	3.09	65.6	0.13	2	52	0	0	1-1	26.09	51.36	13	10.72	37.46	20.51	20.51	1	9190.1	9190.1	292	52/52	1-8	0			159/20	41
bundleDither	bundle	ellipsoid-contour	0.734	12.4	34.4	33.6	46.1	0.35	0.33	0.87	1.04	3.36	49.5	0	1		0	0	1-1	6.3	16.31	5.79	2.64	7.04	15.1	15.1	1.31	2870	2870	129	20/21	1-7	0			0/15	15
bundleLozenge	bundle	sphere-hatch	0.708	14.2	38.3	4.5	45.4	0.34	0.33	1.06	1.06	3.73	51.9	0.259	2	52	0	0	1-1	6.79	75.46	6.9	3.47	19.33	19.95	19.95	1.21	4458.7	4458.7	119	26/26	1-7	0			20	
bundleLozenge	bundle	capsule-hatch	0.588	16	35	4.5	44.8	0.34	0.32	1.06	1.1	3.65	51.5	0.195	2	117	0	0	1-1	7.38	73	7.73	4.06	19.3	20	20	1.21	3986.3	3986.3	133	25/25	1-7	0			24	
bundleLozenge	bundle	cylinder-hatch	0.499	15.5	24	4.5	44.5	0.34	0.33	0.97	1.04	3.18	53.3	0	1		0	0	1-1	34.74	81.89	9.91	5.66	24.63	18	18	1	5811.1	5811.1	212	30/30	1-7	0			31	
bundleLozenge	bundle	sphere-crosshatch	0.518	48.1	73.9	4.5	4.5	0.34	0.28	0.77	1.07	3.1	64.5	0.13	2	52	0	0	1-1	24.72	50.84	12.9	10.56	36.11	20.05	20.05	1	8858.7	8858.7	260	52/52	1-8	0			159/20	41
bundleLozenge	bundle	ellipsoid-contour	0.716	15.3	35.7	36	47.6	0.35	0.33	0.88	1.04	3.21	50.2	0	1		0	0	1-1	5.83	18.22	6.11	3.11	10.63	13.33	13.33	1.31	2739.4	2739.4	102	20/21	1-7	0			0/15	15
bundleHandoff	bundle	sphere-hatch	0.78	18.1	42	4.5	44.3	0.34	0.32	1.2	1.05	2.77	46.9	0.259	2	52	0	0	1-1	9.94	79.31	7.78	4.36	23.72	19.95	19.95	2.35	4370.8	4370.8	113	26/26	1-7	0			20	
bundleHandoff	bundle	capsule-hatch	0.761	14.2	41.6	4.5	41.8	0.35	0.32	1.04	1.08	2.64	46.5	0.195	2	117	0	0	1-1	10.25	80.89	7.71	3.93	20.91	19.8	19.8	1.21	4062	4062	134	25/25	1-7	0			24	
bundleHandoff	bundle	cylinder-hatch	0.657	20.3	35.1	4.5	40.6	0.34	0.33	0.9	1.04	2.84	65.4	0	1		0	0	1-1	34.95	81.32	10.46	6.26	28.03	15.35	15.35	1.66	5973.6	5973.6	187	30/30	1-7	0			31	
bundleHandoff	bundle	sphere-crosshatch	0.678	39.5	79.4	4.5	4.5	0.34	0.25	0.72	1.07	2.91	62.2	0.13	2	52	0	0	1-1	26.37	58.14	17.16	13.17	32.09	20.05	20.05	1.71	8676.3	8676.3	258	52/52	1-8	0			159/20	41
bundleHandoff	bundle	ellipsoid-contour	0.822	17.1	41.4	36	46.9	0.35	0.33	0.93	1.04	2.67	54	0	1		0	0	1-1	8.47	13.48	6.45	3.76	8.58	13.33	13.33	2	2677	2677	93	20/21	1-7	0			0/15	15
contFieldSigmoid	cont	sphere-hatch	0.144	47.7	10.7	4.5	72.9	0.75	0.1	2.2	1.02	1.3	67.5	0	1		0	0	1-1	10.85	81.19	9.94	5.55	39.78	0	0	1.31	2746	2746	73				0.661-3.419	0	20	
contFieldSigmoid	cont	capsule-hatch	0.112	45.5	10.2	4.5	69.9	0.76	0.18	2.03	1.04	1.46	60	0	1		0	0	1-1	22.23	82.24	11.28	6.31	35.73	0	0	1.25	2550.7	2550.7	74				0.661-3.408	0	24/40	16
contFieldSigmoid	cont	cylinder-hatch	0.115	50.7	27.5	4.5	38.4	0.98	0.27	1.5	1.02	1.3	63.9	0	1		0	0	1-1	36.56	76.47	16.57	12.8	59.28	0	0	1.41	3407.9	3407.9	84				0.762-2.972	0	30	
contFieldSigmoid	cont	sphere-crosshatch	0.067	94.2	17.2	4.5	40.3	0.74	0.08	2.15	1.04	2.64	65.6	0	1		0	0	1-1	29.67	57.52	14.71	9.86	48.65	0	0	0.6	5130	5130	137				0.661-3.419	0	20/159	41
contFieldSigmoid	cont	ellipsoid-contour	0.438	31.5	8.6	70.7	79.1	0.78	0.67	1.91	1.03	1.2	96.6	0	1		0	0	1-1	2.82	8.98	3.93	3.43	9.82	0	0	1.71	1432.8	1432.8	33				0.66-2.972	0	2/17/166	15/16/31
contFieldTouch	cont	sphere-hatch	0.31	21.7	37.8	4.5	4.5	0.38	0.14	0.6	1.02	1.23	81	0	1		0	0	1-1	22.82	54.42	14.62	11.54	47.33	0	0	0.5	6326.8	6326.8	158				0.337-0.88	55.3	20	
contFieldTouch	cont	capsule-hatch	0.179	22.6	38.9	4.5	4.5	0.39	0.18	0.56	1.03	1.29	73.7	0	1		0	0	1-1	26.78	56	20.69	15.42	44.2	0	0	0.5	5875	5875	165				0.337-0.853	60	24	
contFieldTouch	cont	cylinder-hatch	0.12	50.9	38.4	4.5	4.5	0.39	0.12	0.47	1.02	1.14	31.3	0	1		0	0	1-1	25.16	50.78	22.19	19.96	50.44	0	0	0.6	9097.1	9097.1	221				0.341-0.546	20.3	31	
contFieldTouch	cont	sphere-crosshatch	0		0	4.5	4.5	0.38	0.06	0.41	1.02	1.47		0	1		0	0	1-1	0	0	0	0	0	0	0	0.25	13037.9	13037.9	330				0.337-0.88	31.4	160/20	40
contFieldTouch	cont	ellipsoid-contour	0.148	14.7	13.8	4.5	33.9	0.36	0.3	0.44	1	1.15	72.3	0	1		0	0	1-1	20.35	68.33	9.64	5.85	19.98	0	0	0.5	3719.8	3719.8	89				0.336-0.546	44.9	2/17/166	15/16/31
contFieldFore	cont	sphere-hatch	0.07	33.1	10.2	4.5	68.1	0.78	0.11	1.45	1.03	1.59	86.9	0	1		0	0	1-1	21.28	78.01	10.6	5.85	38.19	0	0	0.96	3062.1	3062.1	82				0.666-2.149	0	20	
contFieldFore	cont	capsule-hatch	0.051	33.7	7.7	4.5	67.5	0.75	0.16	1.4	1.04	1.56	78.4	0	1		0	0	1-1	39.91	80.1	11.51	6.28	33.86	0	0	0.96	2796.2	2796.2	83				0.666-1.919	0	24	
contFieldFore	cont	cylinder-hatch	0.157	47.8	32.6	4.5	4.5	0.88	0.23	1.08	1.02	1.3	56.4	0	1		0	0	1-1	35.19	66.41	18.05	13.63	57.9	0	0	1.06	4018.8	4018.8	101				0.726-1.443	0	31	
contFieldFore	cont	sphere-crosshatch	0.022	99.1	13.8	4.5	4.5	0.74	0.07	1.4	1.03	2.36	83.9	0	1		0	0	1-1	27.66	53.47	18.08	13.12	47.53	0	0	0.35	6134.3	6134.3	167				0.666-2.149	0	20/145	55
contFieldFore	cont	ellipsoid-contour	0.316	21.8	7	61.1	73.1	0.76	0.35	1.06	1.02	1.46	87.8	0	1		0	0	1-1	3.53	11.78	3.84	2.8	8.33	0	0	0.96	1803	1803	44				0.66-1.439	0	2/17/166	15/16/31
contFieldSurface	cont	sphere-hatch	0.067	52.1	11.9	4.5	47	0.63	0.09	1.26	1.03	1.31	89.5	0	1		0	0	1-1	36.62	75.64	16.23	10.55	47.76	0	0	0.75	3656.3	3656.3	107				0.665-2.042	0	20	
contFieldSurface	cont	capsule-hatch	0.049	94.6	11.2	4.5	44.4	0.63	0.12	1.22	1.04	1.4	80.9	0	1		0	0	1-1	37.8	75.61	16.47	10.3	41.45	0	0	0.75	3364.5	3364.5	108				0.665-1.941	0	35/14	21
contFieldSurface	cont	cylinder-hatch	0.18	47.8	40	4.5	4.5	0.76	0.19	1.05	1.02	1.2	53.1	0	1		0	0	1-1	33.35	65.62	19.75	15.22	53.36	0	0	0.71	4662.1	4662.1	121				0.735-1.443	0	30	
contFieldSurface	cont	sphere-crosshatch	0.062	99	16.2	4.5	4.5	0.63	0.07	1.02	1.04	2.01	75	0	1		0	0	1-1	27.05	54.16	23.68	20.1	50.48	0	0	0.5	7266.4	7266.4	215				0.665-2.042	0	159/20	41
contFieldSurface	cont	ellipsoid-contour	0.12	35.4	12.4	4.5	55.7	0.67	0.12	0.94	1.04	1.51	84.4	0	1		0	0	1-1	3.37	21.95	12.78	8.39	36.68	0	0	0.71	2216.6	2216.6	59				0.66-1.443	0	2/17	15
contFieldQuant	cont	sphere-hatch	0.077	20.9	11.1	4.5	71.9	0.76	0.1	1.42	1.02	1.27	86.2	0	1		0	0	1-1	10.9	76.97	9.93	5.41	36.83	0	0	1	3051.6	3051.6	79				0.66-2.049	0	20	
contFieldQuant	cont	capsule-hatch	0.058	16.7	10.4	4.5	68.4	0.77	0.15	1.37	1.03	1.86	73.3	0	1		0	0	1-1	28.66	79.63	11.36	6.18	33.12	0	0	0.96	2823.9	2823.9	82				0.66-2.026	0	24	
contFieldQuant	cont	cylinder-hatch	0.149	47.6	31.5	4.5	4.5	0.85	0.22	1.06	1.02	1.21	59.3	0	1		0	0	1-1	35.07	70.47	18.13	14.1	59.63	0	0	1.21	4098.7	4098.7	99				0.706-1.447	0	30	
contFieldQuant	cont	sphere-crosshatch	0.015	87.6	16.9	4.5	4.5	0.84	0.07	0.93	1.01	2.54		0	1		0	0	1-1	28.02	49.7	14.45	9.61	44.05	0	0	0.35	6079	6079	158				0.66-2.049	0	159/20	41
contFieldQuant	cont	ellipsoid-contour	0.377	12.4	5.4	69.2	79	0.76	0.65	1.08	1.02	1.23	93.1	0	1		0	0	1-1	3.23	11.07	2.42	1.81	6.08	0	0	0.96	1701.7	1701.7	41				0.66-1.447	0	2/17/166	15/16/31
penInterleave	pen	sphere-hatch	0.154	36.5	29.2	4.5	41.7	1.36	0.2	2.04	1.45	1.61	48.1	0.677	3.5	58	1.367	0.678	0.87-3.1	8.56	74.37	14.75	10.34	55.72	0	20.05	2.25	1634.1	4325.6	273	11/103					20/37	17
penInterleave	pen	capsule-hatch	0.149	32	32.4	4.5	22.8	1.36	0.58	2.04	1.4	1.83	40.7	0.668	3.5	54	2.233	0.858	0.87-3.1	10.44	73.95	16.89	11.76	56.65	0	18	2.21	1510.2	4048.1	221	8/100					24	
penInterleave	pen	cylinder-hatch	0.004	63.7	21.3	4.5	4.5	1.3	0.4	2	1.49	1.75	47.2	0.478	2	48	2.233	1.55	0.87-3.1	36.05	67.99	21.03	17.03	59.16	0	15.25	1.77	2429.9	6041.2	222	4/118					30	
